DriveID,Driver,Vehicle,GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),Mass Air Flow Rate(cfm),Accel Pedal Pos #1(%)
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:14 CST 2013,30:14.2,-86.66696884,34.6473914,16.5,3,142.3000031,269.5,0.61072999,8.84840012,7.1527257,0.1804921,107.2672882,27.91443825,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:15 CST 2013,30:15.2,-86.66715006,34.64739029,16.5,3,141.6999969,269.6,0.99752563,8.61847782,5.71930647,0.07827824,59.06489944,50.69518661,20.3921566
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:16 CST 2013,30:16.2,-86.66732913,34.64739125,16.5,3,140.6000061,269.6,-1.18792963,10.29738617,7.50000381,0.32322305,56.13385773,53.34224701,20.3921566
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:17 CST 2013,30:17.2,-86.66751187,34.6473924,16.5,3,140.3999939,269.7,-0.35566041,8.54782486,7.10722065,0.15276629,80.45046997,37.21924973,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:18 CST 2013,30:18.2,-86.66769292,34.64739184,16.25,3,140.3000031,269.7,-1.51963985,8.34305096,6.86532354,0.13122565,107.2672882,27.91443825,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:19 CST 2013,30:19.2,-86.66786501,34.64739014,16.25,3,140.3000031,269.5,-1.0669812,8.40651894,6.15280533,0.08649296,103.6311112,28.39572144,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:20 CST 2013,30:20.2,-86.66804561,34.64738923,16,3,140.3999939,269.7,0.53768188,7.7119627,6.46176291,0.04607505,69.17813873,41.79144287,18.43137169
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:21 CST 2013,30:21.2,-86.66821365,34.64739002,15.5,3,140,269.7,0.84783691,8.93701553,5.6809864,0.10194439,55.39625549,51.25668335,20
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:22 CST 2013,30:22.2,-86.66838229,34.6473883,15.5,3,139.8000031,269.7,0.40236327,7.38624001,7.06770277,0.06190294,50.73664474,54.94652176,21.56862831
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:23 CST 2013,30:23.2,-86.66855088,34.64738937,15.25,3,139.6999969,269.7,0.88376218,7.29762459,5.89893293,-0.02022868,50.73664474,54.94652176,21.56862831
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:24 CST 2013,30:24.2,-86.66871029,34.6473894,15.25,3,140,269.6,0.20597167,7.88799667,5.93485832,0.02547008,49.22748184,56.63101578,23.52941132
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:25 CST 2013,30:25.2,-86.66887703,34.64738677,15.25,3,140.3000031,269.3,-0.41074586,8.4292717,6.24740839,0.08934337,48.31586075,56.63101578,23.52941132
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:26 CST 2013,30:26.2,-86.66904404,34.64738708,15,3,140.3999939,269.3,0.48139894,8.64482307,7.36228991,0.17753321,92.69293213,29.51871681,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:27 CST 2013,30:27.2,-86.66920647,34.64738581,14.75,3,140.6000061,269.7,0.79634398,8.71667385,6.78149796,0.14770907,97.57257843,27.51336861,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:28 CST 2013,30:28.2,-86.66936037,34.64738312,14.5,3,140.6999969,269.6,0.14489868,7.54550886,6.26177835,0.01863343,86.73905182,29.75935745,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:29 CST 2013,30:29.2,-86.66951768,34.64738378,14,3,140.6000061,269.7,-0.10538086,6.84975576,7.07488775,0.02287966,75.18734741,34.3315506,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:30 CST 2013,30:30.2,-86.66966593,34.64738134,13.5,3,140.8999939,269.8,0.43469605,9.19927025,8.16222668,0.27343351,93.65132141,25.90909004,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:31 CST 2013,30:31.2,-86.66979504,34.64737914,12.25,3,141.5,269.9,-0.14370117,7.05572748,8.23407745,0.1244573,93.65132141,25.90909004,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:32 CST 2013,30:32.2,-86.66991131,34.64737893,10.75,3,141.3999939,269.6,-0.19758911,7.05213499,7.78501081,0.08995765,255,6.09625673,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:33 CST 2013,30:33.2,-86.67001083,34.64737764,9,3,141.6999969,269.3,-0.60234743,7.44611549,8.21970749,0.15123767,255,6.33689833,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:34 CST 2013,30:34.2,-86.67008006,34.64737467,7,3,141.5,268.9,0.29578492,6.6785121,7.44012833,0.03859991,255,3.85026717,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:35 CST 2013,30:35.2,-86.67013001,34.64736995,4.75,3,141.3999939,269.8,-0.00359253,8.00176048,6.62103128,0.07770199,255,1.60427809,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:36 CST 2013,30:36.2,-86.67016249,34.64737162,3.25,3,141.8000031,269.6,-0.33889526,8.61608315,6.27135849,0.10586649,255,1.60427809,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:37 CST 2013,30:37.2,-86.67019568,34.64737432,2.75,3,141.6999969,269.9,-0.15567628,7.62454462,6.81862068,0.0618065,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:38 CST 2013,30:38.2,-86.67022471,34.64737425,2.5,3,142,269.6,0.06227051,8.70709324,6.79706526,0.14500922,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:39 CST 2013,30:39.2,-86.67024497,34.64737448,2,3,142.3999939,269.3,-0.1484912,7.92152691,5.98754883,0.03132719,214.5345764,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:40 CST 2013,30:40.2,-86.67026539,34.64737253,1.75,3,142.8999939,270,-0.25746459,8.59093475,5.67260361,0.08243024,178.7788086,1.44385028,24.31372643
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:41 CST 2013,30:41.2,-86.670285,34.64737638,2,3,143,269.4,0.07903565,8.673563,5.21635246,0.06823575,214.5345764,1.44385028,28.62745094
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:42 CST 2013,30:42.2,-86.67031203,34.64737395,2.5,3,143,269,0.03113525,7.89997196,5.45944691,0.08139397,255,1.44385028,27.45098114
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:43 CST 2013,30:43.2,-86.67034834,34.64737026,3,3,143.5,268.8,-0.2323169,8.70350075,5.94683361,0.09379154,255,1.44385028,27.45098114
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:44 CST 2013,30:44.2,-86.67038865,34.64736183,3.5,3,143.8000031,268.6,0.04430786,8.16462135,5.73128176,0.0594632,255,1.44385028,26.66666603
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:45 CST 2013,30:45.2,-86.67043174,34.64736067,3.75,3,144.1000061,268.8,0.23590942,8.26521206,6.10969496,0.06700617,255,1.44385028,25.88235283
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:46 CST 2013,30:46.2,-86.67047491,34.64736096,4,3,144.1000061,269.3,0.68497556,7.96104479,5.93725348,0.03376228,255,1.44385028,21.96078491
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:47 CST 2013,30:47.2,-86.67052098,34.64736079,4,3,144.1999969,269.1,0.01796265,7.98739004,5.96479607,0.03519028,255,1.44385028,22.74509811
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:48 CST 2013,30:48.2,-86.67057164,34.64736046,4.5,3,144.3999939,269.3,-0.87058961,8.97653294,6.03305435,0.12506741,255,1.44385028,23.13725471
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:49 CST 2013,30:49.2,-86.67062231,34.64736058,4.5,3,144.6000061,269.4,-0.25147706,8.17899132,6.37793684,0.07657748,255,1.44385028,23.52941132
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:50 CST 2013,30:50.2,-86.67067344,34.64736025,4.5,3,144.8000031,269.4,0.09460327,7.84847879,6.30848122,0.04550153,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:51 CST 2013,30:51.2,-86.67072322,34.64735928,4.5,3,144.8999939,269.5,0.14609618,8.68314362,6.47014523,0.12293881,255,1.44385028,16.47058868
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:52 CST 2013,30:52.2,-86.67077153,34.64735777,4.5,3,144.8000031,269.5,-0.40595582,8.75858688,6.22585344,0.1151827,255,1.44385028,21.1764698
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:53 CST 2013,30:53.2,-86.67081827,34.64735668,4.25,3,144.8000031,269.6,0.13292359,8.2077322,5.76840448,0.0417214,255,1.44385028,22.74509811
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:54 CST 2013,30:54.2,-86.67086404,34.64735568,4.25,3,145.3999939,269.5,0.12933105,8.55620766,5.7612195,0.07056624,255,1.44385028,25.09803963
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:55 CST 2013,30:55.2,-86.67091037,34.64735477,4.25,3,145.6999969,269.4,-0.1844165,8.32748318,5.84264994,0.05614132,255,1.44385028,25.88235283
